,word,frequency
2,their,3656
1,there,1900
26,those,1380
5,these,1256
3,about,1087
31,house,1084
70,among,887
18,place,883
12,after,803
42,earth,757
23,every,752
4,would,662
13,where,626
98,bring,619
55,heard,599
20,great,590
37,until,561
11,water,520
6,other,520
17,years,509
94,heart,501
44,since,492
7,words,491
0,which,478
34,asked,456
30,while,451
153,death,448
14,right,445
10,first,429
21,again,426
78,hands,418
58,given,410
129,woman,409
27,never,394
51,young,392
146,blood,383
679,altar,381
28,under,379
761,sword,377
148,seven,374
16,three,358
38,along,349
56,whole,341
25,found,338
164,speak,338
511,kings,326
495,glory,316
46,night,311
201,spoke,304
35,going,297
89,power,294
258,drink,291
63,today,291
8,could,289
220,bread,283
436,faith,270
87,comes,257
149,mouth,255
235,peace,254
189,sight,248
104,stand,248
22,still,246
84,voice,240
343,grain,240
168,women,238
32,world,238
492,anger,237
113,leave,235
475,tribe,235
236,month,228
110,field,227
47,light,224
290,serve,221
90,lived,218
137,named,217
82,stood,213
92,taken,211
359,enter,211
255,sheep,209
111,whose,204
498,flesh,202
83,front,198
753,angel,198
702,burnt,195
54,times,194
29,might,193
116,third,193
43,began,190
192,works,190
160,lives,188
93,built,188
68,order,188
197,stone,185
40,being,183
3535,peter,182
438,judge,180
874,hosts,174
36,large,171
19,sound,167
120,doing,165
331,truth,165
856,wrath,163
48,above,161
251,fruit,159
383,offer,157
490,birth,156
72,known,155
847,reign,152
562,slave,147
151,north,143
745,grace,143
422,honor,141
144,build,141
288,heads,138
1081,mount,138
66,money,134
76,trees,131
1238,idols,131
740,gates,130
130,alone,130
2619,clans,128
573,favor,128
212,fight,124
62,thing,122
910,flock,121
134,carry,120
157,gives,120
141,human,120
798,wives,118
292,crowd,117
170,south,115
510,royal,115
715,mercy,113
394,teach,112
309,loved,112
125,cried,112
418,labor,111
86,makes,110
334,enemy,110
243,chief,110
317,court,108
701,shame,105
203,cause,105
185,ahead,104
496,guard,103
356,cloud,103
107,river,103
291,angry,102
851,linen,102
1199,curse,101
139,child,96
121,names,95
245,cross,94
411,ruler,93
945,lambs,92
105,birds,92
218,knows,90
260,apart,90
1164,bless,90
1055,swore,90
74,table,89
297,alive,89
333,threw,87
477,blind,87
259,bones,86
214,drive,86
364,lying,85
379,saved,84
133,watch,81
823,tenth,79
202,break,78
402,false,78
661,beast,78
301,signs,77
15,think,76
329,raise,75
244,walls,75
315,towns,75
571,trust,74
175,sleep,74
9,write,73
420,youth,73
417,staff,72
75,early,72
936,olive,72
527,inner,71
501,yours,71
771,goats,70
389,throw,70
194,cover,70
397,dream,70
246,wings,70
1282,bulls,70
142,takes,69
776,dwell,69
1268,exile,69
821,widow,67
95,ready,67
621,shout,67
774,loves,67
311,faces,66
24,small,65
57,white,65
654,gifts,65
280,broke,64
253,wants,64
468,flour,64
584,horns,64
226,clean,63
858,bowed,63
345,mixed,62
484,fifth,62
1903,psalm,62
1471,repay,62
1003,slain,61
831,deeds,61
542,pride,61
456,image,61
425,doors,60
119,plant,60
296,share,59
671,honey,58
483,queen,57
426,poles,57
844,tents,57
